credit,summe_einnahmen,summe_ausgaben,frei_verfuegbares_einkommen,verhaeltnis_einkommen_zu_rate,laufzeit,kreditbetrag,score_wert,schufa_score,anzahl_kinder,anzahl_personen,anzahl_kfz,beschaeftigungs_art,anrede,familienstand,wohnsituation,einkommen_unselbstaendig,rente,ein_unterhalt,kindergeld,ein_miete,sonstiges,aus_miete,wohnnebenkosten,aus_unterhalt,kranken_pflege_versicherung,lebensversicherung,baufinanzierung,bausparen,beschaeftigt_seit,alter,wohnhaft
ABGELEHNT,1594.0,936.111111111111,657.0,0.65,48,7000.0,56,9791,1,2,0,ANGESTELLTER,HERR,LEDIG,SONSTIGES,1400.0,0.0,0.0,192.0,0.0,,,,0.0,,0.0,0.0,40.0,2012-02-01 00:00:00,29.0,3.0
ABGELEHNT,2250.0,1635.0,615.0,0.65,24,7000.0,51,9912,0,1,1,ARBEITER,HERR,LEDIG,MIETE,2250.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-07-01 00:00:00,47.0,13.0
ABGELEHNT,1650.0,1235.0,415.0,0.6,84,8000.0,171,9938,0,2,1,ARBEITER,HERR,VERHEIRATET,MIETE,1650.0,0.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-01-01 00:00:00,45.0,5.0
ABGELEHNT,16800.0,3361.0,13439.0,0.45,60,15515.0,318,9850,0,1,1,SELBSTAENDIG,FRAU,VERWITWET,MIETE,0.0,0.0,0.0,0.0,28000.0,,1590.0,,620.0,1.0,200.0,0.0,0.0,1987-07-01 00:00:00,58.0,5.0
ABGELEHNT,2000.0,1250.0,750.0,0.65,36,10000.0,239,9790,0,2,1,ANGESTELLTER,FRAU,LEBENSGEMEINSCHAFT,MIETE,2000.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-01 00:00:00,42.0,4.0
ABGELEHNT,3000.0,1608.11111111111,1391.0,0.65,60,8000.0,441,9874,0,2,1,ANGESTELLTER,FRAU,VERHEIRATET,MIETE,1500.0,1500.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,1986-02-01 00:00:00,53.0,3.0
ABGELEHNT,2894.0,1438.4666666666699,1455.0,0.65,60,19500.0,267,9945,1,3,0,ARBEITER,HERR,VERHEIRATET,EIGENTUM,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,450.0,1977-03-01 00:00:00,63.0,14.0
ABGELEHNT,2300.0,1315.0,985.0,0.65,36,7000.0,349,9964,0,1,1,ARBEITER,HERR,LEDIG,EIGENTUM,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,30.0,265.0,0.0,2000-02-01 00:00:00,52.0,9.0
ABGELEHNT,2247.0,1350.0,897.0,0.6,72,15000.0,397,9735,0,1,1,ANGESTELLTER,HERR,LEDIG,EIGENTUM,1729.0,0.0,0.0,0.0,550.0,,,450.0,0.0,,0.0,0.0,0.0,2005-07-01 00:00:00,73.0,5.0
ABGELEHNT,15554.0,5700.0,9854.0,0.45,84,20000.0,90,9794,2,4,1,SELBSTAENDIG,HERR,VERHEIRATET,EIGENTUM,,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,800.0,0.0,3000.0,0.0,2014-01-01 00:00:00,43.0,2.0
ABGELEHNT,2011.0,1302.0,709.0,0.65,60,10000.0,242,9868,1,3,1,ANGESTELLTER,FRAU,VERHEIRATET,SONSTIGES,1643.0,0.0,174.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-09-01 00:00:00,40.0,7.0
ABGELEHNT,1694.0,850.0,844.0,0.6,84,20000.0,27,9883,1,3,1,ANGESTELLTER,FRAU,VERHEIRATET,SONSTIGES,1500.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2017-02-01 00:00:00,36.0,3.0
ABGELEHNT,2600.0,1800.0,800.0,0.6,84,13000.0,441,9944,0,2,1,ARBEITER,HERR,VERHEIRATET,EIGENTUM,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,30.0,530.0,25.0,2001-03-01 00:00:00,60.0,36.0
ABGELEHNT,3188.0,3039.72222222222,148.0,0.65,60,5000.0,380,9917,2,5,1,ARBEITER,HERR,VERHEIRATET,MIETE,2000.0,,,388.0,,800.0,1205.0,,,,,,,1998-08-01 00:00:00,46.0,5.0
ABGELEHNT,2400.0,1593.65277777778,806.0,0.65,48,19000.0,117,9632,0,2,0,ANGESTELLTER,HERR,LEBENSGEMEINSCHAFT,MIETE,2400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-03-01 00:00:00,41.0,7.0
ABGELEHNT,3391.0,2629.5625,762.0,0.45,60,10000.0,16,9873,2,4,1,SELBSTAENDIG,HERR,VERHEIRATET,MIETE,,0.0,0.0,388.0,0.0,0.0,505.0,0.0,0.0,1.0,0.0,0.0,0.0,2014-01-01 00:00:00,39.0,18.0
ABGELEHNT,1900.0,1479.49231678487,420.0,0.65,60,12000.0,9,9897,0,1,0,ARBEITER,HERR,LEDIG,EIGENTUM,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,450.0,0.0,2017-03-01 00:00:00,33.0,10.0
ABGELEHNT,1740.0,1150.0,590.0,0.6,72,20000.0,19,9901,0,1,1,ANGESTELLTER,FRAU,LEDIG,MIETE,1740.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,50.0,2009-09-01 00:00:00,35.0,5.0
ABGELEHNT,3288.0,2848.0,440.0,0.65,60,14000.0,161,9733,2,4,1,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,2900.0,0.0,0.0,388.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,600.0,90.0,2002-09-01 00:00:00,33.0,5.0
ABGELEHNT,3589.0,3049.0,540.0,0.65,48,10000.0,362,9944,1,2,1,ANGESTELLTER,HERR,GESCHIEDEN,MIETE,3395.0,0.0,0.0,194.0,0.0,0.0,667.0,0.0,0.0,699.0,0.0,0.0,0.0,1999-04-01 00:00:00,54.0,7.0
ABGELEHNT,1955.0,1350.0,605.0,0.7,12,5000.0,366,9765,1,3,1,ANGESTELLTER,FRAU,VERHEIRATET,MIETE,1311.0,450.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-01 00:00:00,52.0,4.0
ABGELEHNT,1800.0,800.0,1000.0,0.65,36,8000.0,349,9717,0,1,1,ANGESTELLTER,HERR,LEDIG,ELTERN,1800.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2015-08-01 00:00:00,96.0,11.0
ABGELEHNT,2144.0,1515.90277777778,628.0,0.6,72,10000.0,-96,9893,1,3,1,ANGESTELLTER,HERR,LEBENSGEMEINSCHAFT,MIETE,1350.0,0.0,0.0,194.0,0.0,600.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-01 00:00:00,32.0,4.0
ABGELEHNT,4532.0,4132.0,400.0,0.65,48,6000.0,-53,9852,3,5,1,BEAMTER,HERR,VERHEIRATET,EIGENTUM,3950.0,0.0,0.0,588.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,1037.0,50.0,2017-08-01 00:00:00,39.0,6.0
ABGELEHNT,1900.0,1338.15789473684,561.0,0.65,36,10500.0,72,9806,0,1,0,ANGESTELLTER,HERR,LEDIG,MIETE,1900.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-01-01 00:00:00,36.0,3.0
ABGELEHNT,1550.0,1184.0,366.0,0.6,84,13354.0,80,9779,0,1,1,ANGESTELLTER,HERR,LEDIG,ELTERN,1550.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-03-01 00:00:00,41.0,41.0
ABGELEHNT,2294.0,1835.0,459.0,0.6,84,20000.0,159,9863,1,3,1,ANGESTELLTER,HERR,VERHEIRATET,MIETE,2100.0,0.0,0.0,194.0,0.0,0.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-09-01 00:00:00,44.0,12.0
ABGELEHNT,2894.0,2412.2916666666697,481.0,0.65,24,6000.0,-81,9913,1,2,1,ANGESTELLTER,HERR,LEDIG,MIETE,2700.0,0.0,0.0,194.0,0.0,0.0,650.0,0.0,0.0,0.0,35.0,0.0,130.0,2011-04-01 00:00:00,34.0,5.0
ABGELEHNT,2730.0,2250.0,480.0,0.6,72,6500.0,43,9920,0,2,1,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,2100.0,0.0,0.0,0.0,700.0,0.0,0.0,100.0,0.0,0.0,45.0,1250.0,0.0,2016-06-01 00:00:00,35.0,35.0
ABGELEHNT,5450.0,1950.0,3500.0,0.65,48,25000.0,345,9940,0,1,0,ANGESTELLTER,HERR,GESCHIEDEN,MIETE,5000.0,0.0,0.0,0.0,750.0,,500.0,,0.0,,0.0,600.0,0.0,2010-11-01 00:00:00,54.0,17.0
ABGELEHNT,2788.0,2514.0,274.0,0.6,72,10000.0,14,9794,2,3,1,ANGESTELLTER,HERR,LEDIG,EIGENTUM,2400.0,0.0,0.0,384.0,0.0,,,300.0,0.0,,0.0,814.0,0.0,2008-04-01 00:00:00,35.0,7.0
ABGELEHNT,2588.0,2398.63333333333,189.0,0.65,60,5000.0,70,9765,2,4,1,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,2200.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,2016-02-01 00:00:00,35.0,3.0
ABGELEHNT,1950.0,1245.0,705.0,0.6,72,10000.0,409,9887,0,2,0,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,2001-12-01 00:00:00,54.0,19.0
ABGELEHNT,1700.0,1020.0,680.0,0.6,84,19000.0,373,9803,0,2,1,ARBEITER,HERR,VERHEIRATET,MIETE,1700.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,30.0,2015-03-01 00:00:00,56.0,12.0
ABGELEHNT,3728.0,2980.0,748.0,0.45,72,20000.0,-4,9877,1,3,1,SELBSTAENDIG,HERR,VERHEIRATET,MIETE,,0.0,0.0,194.0,0.0,0.0,950.0,0.0,0.0,680.0,0.0,0.0,0.0,2011-01-01 00:00:00,45.0,6.0
ABGELEHNT,2100.0,1827.0,273.0,0.6,84,10000.0,343,9872,0,2,1,ANGESTELLTER,HERR,LEBENSGEMEINSCHAFT,MIETE,2100.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,280.0,24.0,35.0,0.0,0.0,2002-07-01 00:00:00,52.0,5.0
ABGELEHNT,3500.0,1935.0,1565.0,0.65,24,10000.0,71,9756,0,1,1,ANGESTELLTER,HERR,LEDIG,EIGENTUM,1500.0,0.0,0.0,0.0,0.0,2000.0,0.0,250.0,0.0,0.0,0.0,0.0,15.0,2013-03-01 00:00:00,30.0,18.0
ABGELEHNT,2000.0,1400.0,600.0,0.65,60,20000.0,419,9853,0,1,1,ANGESTELLTER,HERR,LEDIG,MIETE,2000.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-01 00:00:00,58.0,9.0
ABGELEHNT,3466.0,2644.22950819672,821.0,0.65,60,5000.0,59,9809,1,3,1,ARBEITER,HERR,LEBENSGEMEINSCHAFT,EIGENTUM,2200.0,0.0,0.0,194.0,0.0,1072.0,0.0,0.0,0.0,0.0,110.0,868.0,0.0,2017-05-01 00:00:00,42.0,42.0
ABGELEHNT,1944.0,1575.0,369.0,0.65,60,12500.0,141,9712,1,2,1,ANGESTELLTER,HERR,LEDIG,EIGENTUM,1750.0,0.0,0.0,194.0,0.0,0.0,0.0,150.0,0.0,0.0,40.0,350.0,50.0,2003-08-01 00:00:00,36.0,6.0
ABGELEHNT,1700.0,1000.0,700.0,0.7,24,5000.0,52,9842,0,1,1,ARBEITER,HERR,LEDIG,MIETE,1700.0,0.0,0.0,0.0,0.0,,350.0,,0.0,,110.0,0.0,0.0,2017-07-01 00:00:00,46.0,7.0
ABGELEHNT,5090.0,3872.0,1218.0,0.6,84,50000.0,232,9833,1,3,1,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,4835.3,,,194.0,,61.0,,200.0,,722.0,,1600.0,,2004-04-01 00:00:00,40.0,2.0
ABGELEHNT,3300.0,2227.0,1073.0,0.65,24,10000.0,177,9833,0,2,0,ANGESTELLTER,HERR,LEBENSGEMEINSCHAFT,MIETE,3300.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-01 00:00:00,35.0,9.0
ABGELEHNT,4534.0,3619.6666666666706,914.0,0.6,84,30000.0,179,9935,2,4,1,ANGESTELLTER,HERR,VERHEIRATET,MIETE,3100.0,0.0,0.0,388.0,1907.0,0.0,777.0,0.0,0.0,0.0,0.0,981.0,150.0,2001-03-01 00:00:00,43.0,7.0
ABGELEHNT,5400.0,2281.2380952381,3118.0,0.6,84,29000.0,391,9925,0,2,1,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,5400.0,,,,,,200.0,100.0,,,,540.0,,2015-06-10 00:00:00,58.0,12.0
ABGELEHNT,2500.0,2015.18787878788,484.0,0.65,36,10000.0,172,9798,0,1,1,ANGESTELLTER,HERR,LEDIG,MIETE,2500.0,0.0,0.0,0.0,0.0,,475.0,,0.0,,0.0,0.0,0.0,2011-03-01 00:00:00,43.0,3.0
ABGELEHNT,3300.0,2643.09523809524,656.0,0.65,24,6000.0,282,9841,0,2,1,BEAMTER,HERR,VERHEIRATET,EIGENTUM,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,195.0,30.0,1060.0,40.0,2003-09-01 00:00:00,36.0,8.0
ABGELEHNT,2900.0,1310.0,1590.0,0.65,48,20000.0,26,9840,0,1,1,ANGESTELLTER,FRAU,LEDIG,ELTERN,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-01-01 00:00:00,35.0,23.0
ABGELEHNT,2465.0,1753.0,712.0,0.65,24,6000.0,518,9955,0,2,1,ANGESTELLTER,HERR,LEBENSGEMEINSCHAFT,EIGENTUM,2465.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,595.0,0.0,1999-07-01 00:00:00,53.0,19.0
ABGELEHNT,2838.0,2100.0,738.0,0.65,24,6000.0,-52,9776,2,4,1,ARBEITER,HERR,VERHEIRATET,EIGENTUM,2450.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,2017-10-01 00:00:00,31.0,2.0
ABGELEHNT,2838.0,1329.5,1508.0,0.6,84,7700.0,312,9845,2,4,0,ANGESTELLTER,HERR,VERHEIRATET,ELTERN,2000.0,0.0,450.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-01 00:00:00,58.0,8.0
ABGELEHNT,2694.0,1870.0,824.0,0.7,36,5000.0,112,9882,1,2,0,ANGESTELLTER,HERR,LEDIG,MIETE,2500.0,0.0,0.0,194.0,0.0,0.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-08-01 00:00:00,46.0,5.0
ABGELEHNT,1908.0,1260.0,648.0,0.6,72,17000.0,-53,9768,1,2,1,ANGESTELLTER,FRAU,LEDIG,MIETE,1560.0,0.0,154.0,194.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-01 00:00:00,31.0,6.0
ABGELEHNT,5088.0,2800.0,2288.0,0.6,60,40000.0,407,9954,0,1,1,ANGESTELLTER,HERR,LEDIG,EIGENTUM,4800.0,0.0,0.0,0.0,480.0,,,0.0,0.0,,0.0,1650.0,130.0,2009-04-01 00:00:00,65.0,7.0
